,Name,url
65,ALICE COCKTAIL,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg
66,ALICE IN WONDERLAND,http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg
67,ALLEGHENY,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg
68,ALLIES COCKTAIL,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg
69,ALMERIA,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg
70,ALMOND CHOCOLATE COFFEE,http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg
71,ALMOND JOY,http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg
72,ALOHA FRUIT PUNCH,http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg
73,AMARETTO AND CREAM,http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg
74,AMARETTO LIQUEUR,http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg
75,AMARETTO MIST,http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg
76,AMARETTO ROSE,http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg
77,AMARETTO SHAKE,http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg
78,AMARETTO SOUR,http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg
79,AMARETTO STINGER,http://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg
80,AMARETTO STONE SOUR,http://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg
81,AMARETTO STONE SOUR #3,http://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg
82,AMARETTO SUNRISE,http://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg
83,AMARETTO SUNSET,http://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg
84,AMARETTO SWEET & SOUR,http://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg
85,AMARETTO TEA,http://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg
86,AMERICANO,http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg
87,ANGEL FACE,http://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg
88,ANGELICA LIQUEUR,http://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg
89,APELLO,http://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg
90,APPLE BERRY SMOOTHIE,http://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg
91,APPLE CIDER PUNCH #1,http://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg
92,APPLE GRANDE,http://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg
93,APPLE KARATE,http://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg
94,APPLE PIE WITH A CRUST,http://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg
95,APPLE SLAMMER,http://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg
96,APPLECAR,http://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg
97,APPLEJACK,http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg
98,APRICOT LADY,http://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg
99,APRICOT PUNCH,http://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg
